Club,Attendance,W,D,L,GF,GA,Gdiff,Points,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,Total_Pass,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,03-Jan,PPA,CrsPA,Prog,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Arsenal,47589,14,14,10,56,48,8,56,2.32,49.2,46.9,29.9,1.3,0.79,2.08,1.24,2.02,48,1.26,189,143,0.783,14,14,10,10,26.3,8,7,1,0,7,0,9,0,58,0.27,10,0.26,128,433,29.6,971,220,29.7,32.7,312,46.5,41.4,353,23,6.5,21,0.55,13.3,29,56,401,144,35.9,10.55,3.79,0.13,0.37,15.8,19,3,3,16349,19802,82.6,321220,94865,6299,7029,89.6,7392,8306,89,2428,3776,64.3,35,29.9,5.1,285,1121,320,70,1240,632,16.63,436,57,50,36,36,17,86,2.26,57,4,4,9,4,8,0,601,373,325,199,77,202,596,33.9,394,6127,1640,26.8,2245,2662,1220,614,153,2,461,244,845,978,14,54,24196,2929,8623,11508,5691,931,22390,428,711,60.2,455,34,16309,97513,55374,18851,16349,86.7,448,451
Aston Villa,28505,9,8,21,41,67,-26,35,1.87,40.1,37.7,30.4,1.05,0.8,1.85,0.99,1.79,67,1.76,175,113,0.646,9,8,21,7,18.4,6,5,1,0,5,1,10,1,59.8,0.32,-6.2,-0.16,279,723,38.6,850,170,55.2,44.4,343,74.1,55.5,391,26,6.6,19,0.5,13.1,28,40,453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,1,3,11530,15353,75.1,242867,87449,4292,4999,85.9,4958,5923,83.7,2084,3846,54.2,32,30.4,1.6,361,891,286,95,1034,763,20.08,549,80,36,27,54,16,69,1.82,46,7,5,4,4,2,1,606,388,339,194,73,192,613,31.3,421,5837,1595,27.3,2133,2485,1219,725,213,4,512,254,860,983,29,43.9,19827,2772,7317,8474,5328,781,17902,368,584,63,404,25,11554,74823,39600,14087,11530,81.8,409,428
Bournemouth,7745,9,7,22,40,65,-25,34,1.53,42.7,39.7,27.4,1.12,0.72,1.84,1.04,1.76,65,1.71,182,122,0.67,9,7,22,5,13.2,6,5,1,0,5,4,5,0,64.3,0.33,-0.7,-0.02,206,668,30.8,859,189,53.1,44.5,297,71.4,58.5,328,20,6.1,17,0.45,14.2,27,38,384,116,30.2,10.11,3.05,0.09,0.29,16.3,21,4,4,11943,15973,74.8,234473,86377,4779,5647,84.6,5158,6227,82.8,1773,3382,52.4,24,27.4,-3.4,267,900,258,53,1069,569,14.97,393,66,32,30,40,7,59,1.55,32,4,5,10,7,0,1,559,349,279,220,60,184,582,31.6,398,6790,1780,26.2,2224,2967,1599,703,176,3,527,288,847,1135,14,43.8,20686,2739,7781,8690,5386,832,18878,360,646,55.7,395,28,12186,73851,38870,14685,11943,81.3,521,439
Brighton,22369,9,14,15,39,54,-15,41,1.53,41.2,39.7,26.5,1.08,0.7,1.78,1.04,1.74,54,1.42,164,114,0.683,9,14,15,9,23.7,2,2,0,0,2,0,8,3,54.5,0.32,3.5,0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.5,13.9,25,35,456,137,30,12,3.61,0.07,0.25,17.1,11,1,2,15696,19549,80.3,317859,103840,5976,6845,87.3,7011,8038,87.2,2509,4013,62.5,24,26.5,-2.5,327,1091,310,85,1301,708,18.63,512,69,42,35,32,14,64,1.68,39,8,5,2,5,1,4,663,409,339,237,87,214,644,33.2,430,5794,1743,30.1,2018,2419,1357,631,162,5,469,299,962,934,16,52.2,24066,2881,8807,10577,6186,879,22325,361,599,60.3,380,21,15610,91761,47760,18478,15696,84.9,474,512
Burnley,15995,15,9,14,43,50,-7,54,1.79,43.9,41.6,27.2,1.15,0.72,1.87,1.09,1.81,50,1.32,159,112,0.711,15,9,14,15,39.5,5,4,1,0,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5,22,41,384,124,32.3,10.11,3.26,0.1,0.31,15.6,17,3,3,9925,14227,69.8,203008,78549,4182,4902,85.3,3740,4775,78.3,1773,3907,45.4,30,27.2,2.8,263,778,208,78,814,570,15,392,66,26,36,35,14,66,1.74,43,8,3,5,2,4,1,583,340,264,239,80,204,612,33.3,408,5802,1482,25.5,1782,2535,1485,712,189,3,523,252,835,1234,5,41.4,18703,2366,6006,8777,4828,655,16885,271,473,57.3,293,18,9851,55596,27168,12820,9925,77.4,406,355
Chelsea,32023,20,6,12,69,54,15,66,2.84,66.6,61.7,46.2,1.75,1.22,2.97,1.62,2.84,54,1.42,115,65,0.548,20,6,12,9,23.7,2,2,0,0,2,2,11,3,41.4,0.35,-9.6,-0.25,174,407,42.8,1024,160,30.5,32.3,227,41.9,38.8,258,18,7,23,0.61,15.4,27,69,619,210,33.9,16.29,5.53,0.1,0.3,16.1,27,7,7,20665,24532,84.2,404119,114240,8080,9028,89.5,9196,10285,89.4,3033,4405,68.9,46,46.2,-0.2,453,1482,429,105,1520,991,26.08,739,86,53,46,54,13,110,2.89,76,6,8,8,10,2,0,739,449,351,296,92,217,626,34.7,409,6197,1916,30.9,1812,2841,1544,576,102,2,474,268,1007,930,9,60.7,29171,2489,8842,14256,7901,1197,27383,466,718,64.9,498,15,20509,113142,61660,23597,20665,87.6,475,479
Crystal Palace,19784,11,10,17,31,50,-19,43,1.21,34,31.9,23.6,0.9,0.62,1.52,0.84,1.46,50,1.32,169,120,0.704,11,10,17,10,26.3,1,0,0,1,0,1,7,2,55.6,0.34,7.6,0.2,256,762,33.6,844,169,59.4,45.2,312,83.7,62.5,366,33,9,17,0.45,13.1,25,29,372,116,31.2,9.79,3.05,0.07,0.22,16.4,15,3,3,12142,15940,76.2,235605,89747,5127,5936,86.4,4899,5840,83.9,1819,3435,53,20,23.6,-3.6,253,861,256,57,1040,534,14.05,342,64,51,22,41,12,54,1.42,35,4,5,2,6,0,2,733,430,393,264,76,260,678,38.3,418,6252,1698,27.2,2430,2645,1177,675,153,3,522,277,1010,999,13,44.5,20796,2496,7340,9542,5126,903,18860,448,715,62.7,474,24,12388,72863,38676,14799,12142,82,509,556
Everton,28848,13,10,15,44,56,-12,49,1.92,49.3,48.5,30.9,1.3,0.81,2.11,1.28,2.09,56,1.47,145,95,0.634,13,10,15,9,23.7,4,3,0,1,3,3,6,3,48.7,0.32,-4.3,-0.11,313,784,39.9,1100,179,55.6,45.8,273,63,53.4,315,25,7.9,23,0.61,14.6,24,42,465,155,33.3,12.24,4.08,0.09,0.26,15.6,20,1,1,13239,17176,77.1,281798,100680,4698,5554,84.6,5951,6984,85.2,2403,3983,60.3,32,30.9,1.1,316,1033,297,85,1259,706,18.58,457,83,46,54,43,21,66,1.74,43,5,5,8,2,1,2,739,423,369,267,103,245,736,33.3,491,6067,1659,27.3,2068,2639,1360,588,130,1,458,279,1018,1037,10,49.2,21845,2703,7601,9939,5579,889,20006,392,635,61.7,429,31,13246,78961,41933,16042,13239,82.5,491,470
Leicester City,25312,18,8,12,67,41,26,62,2.84,61.6,56.2,44,1.62,1.16,2.78,1.48,2.64,41,1.08,126,95,0.738,18,8,12,13,34.2,10,8,2,0,8,0,7,2,42.2,0.28,3.2,0.08,239,488,49,936,151,39.9,37.4,242,47.5,40.8,293,10,3.4,27,0.71,15.7,24,65,533,181,34,14.03,4.76,0.11,0.33,16.5,20,5,7,17329,21149,81.9,333434,103827,6970,7807,89.3,7766,8836,87.9,2322,3761,61.7,48,44,4,398,1237,323,84,1336,877,23.08,625,77,64,40,52,17,114,3,87,5,7,2,7,4,2,781,478,381,311,89,283,786,36,503,6392,1984,31,2112,2895,1385,601,107,2,494,309,1090,1013,13,57.6,25867,2350,8090,12502,6789,998,24031,411,678,60.6,444,22,16888,93687,50976,20014,17329,86.6,468,477
Liverpool,41955,32,3,3,85,33,52,99,3.87,71.5,67.7,51.8,1.88,1.36,3.25,1.78,3.15,33,0.87,107,75,0.701,32,3,3,15,39.5,1,1,0,0,1,1,2,1,31.6,0.29,-0.4,-0.01,198,397,49.9,1001,181,29.7,33.4,238,42,39.2,288,24,8.3,44,1.16,16.4,24,83,585,222,37.9,15.39,5.84,0.13,0.35,16,18,5,5,20887,25110,83.2,425217,125713,7701,8605,89.5,9515,10702,88.9,3383,5042,67.1,69,51.8,17.2,436,1734,501,101,1816,915,24.08,674,72,73,37,39,18,140,3.68,95,10,14,8,9,2,2,606,375,225,258,123,212,607,34.9,395,5638,1813,32.2,1496,2346,1796,481,75,2,406,246,852,863,10,63.4,29379,2183,7595,15110,8457,1318,27525,439,718,61.1,482,27,20118,105011,57196,24019,20887,87,477,427
Manchester City,37097,26,3,9,102,35,67,81,4.29,93,84.6,66.2,2.45,1.74,4.19,2.23,3.97,35,0.92,107,73,0.701,26,3,9,17,44.7,3,3,0,0,3,1,4,1,33.7,0.3,-0.3,-0.01,146,295,49.5,1028,174,22.5,29.9,167,38.3,37.2,207,15,7.2,39,1.03,17.3,24,100,730,246,33.7,19.21,6.47,0.13,0.38,15.6,27,6,11,24266,27673,87.7,471127,125662,9543,10428,91.5,11061,12080,91.6,3369,4392,76.7,69,66.2,2.8,558,1916,598,96,2005,1229,32.34,939,63,94,62,54,17,168,4.42,116,6,14,12,14,6,0,567,365,224,230,113,228,638,35.7,410,5003,1584,31.7,1187,2160,1656,444,74,3,370,227,794,655,19,66.9,31554,2222,7301,16365,10037,1626,30005,539,813,66.3,565,23,22892,127719,75476,26741,24266,90.7,332,397
Manchester United,57942,18,12,8,66,36,30,66,2.58,59.4,48.8,37,1.56,0.97,2.54,1.28,2.26,36,0.95,125,92,0.736,18,12,8,13,34.2,3,3,0,0,3,1,8,1,37.1,0.28,2.1,0.05,120,311,38.6,669,148,33.8,34.3,265,32.1,33.9,285,15,5.3,11,0.29,13.3,29,65,528,200,37.9,13.89,5.26,0.1,0.28,18.2,33,10,14,17542,21170,82.9,324919,97629,7733,8627,89.6,7370,8365,88.1,2155,3392,63.5,43,37,6,401,1362,353,53,1500,907,23.87,701,53,56,27,57,11,104,2.74,76,4,8,1,11,2,2,618,359,292,245,81,207,626,33.1,419,5860,1650,28.2,1883,2616,1361,632,117,0,515,300,918,880,7,56.2,25675,2324,7503,12600,7324,985,23880,475,780,60.9,506,39,17480,105443,60987,20059,17542,87.5,451,478
Newcastle United,35551,11,11,16,38,58,-20,44,1.76,33.1,32.3,23.2,0.87,0.61,1.48,0.85,1.46,58,1.53,190,134,0.705,11,11,16,11,28.9,2,2,0,0,2,2,11,2,66,0.34,10,0.26,295,778,37.9,756,121,63.6,48.4,337,88.1,64.4,384,20,5.2,14,0.37,12.3,28,38,397,127,32,10.45,3.34,0.1,0.3,18.4,14,0,1,10500,14206,73.9,217402,81724,4147,4810,86.2,4350,5309,81.9,1804,3514,51.3,29,23.2,5.8,293,762,188,67,754,596,15.68,417,60,45,30,31,13,61,1.61,40,6,3,6,3,3,0,672,393,413,198,61,225,622,36.2,397,5994,1524,25.4,2591,2401,1002,638,173,5,465,293,965,1133,11,38.6,18718,2508,7645,7774,4326,593,16998,427,656,65.1,457,18,10760,64348,34435,12986,10500,80.9,453,407
Norwich City,19913,5,6,27,26,75,-49,21,1.08,38,36.6,26.1,1,0.69,1.69,0.96,1.65,75,1.97,201,129,0.647,5,6,27,5,13.2,7,4,3,0,4,1,13,3,70.9,0.33,-1.1,-0.03,271,765,35.4,1261,190,45.4,39.7,350,55.1,44.8,403,28,6.9,18,0.47,14.1,30,25,409,124,30.3,10.76,3.26,0.06,0.19,17.3,16,2,2,14610,18286,79.9,270287,88230,6655,7458,89.2,5745,6622,86.8,1901,3446,55.2,18,26.1,-8.1,299,881,224,42,997,652,17.16,467,50,48,37,33,16,39,1.03,27,2,3,2,1,3,1,716,434,419,219,78,253,776,32.6,523,6492,1779,27.4,2695,2609,1188,713,197,6,516,270,986,1039,16,49.3,23022,3280,9340,9988,5141,731,21235,451,732,61.6,483,34,14491,86404,46882,17229,14610,84.8,479,466
Sheffield United,24370,14,12,12,39,39,0,54,1.58,41.5,40.8,31.5,1.09,0.83,1.92,1.07,1.9,39,1.03,141,103,0.73,14,12,12,13,34.2,3,1,1,1,1,0,2,0,42.5,0.3,3.5,0.09,262,892,29.4,814,103,77.6,58.7,269,96.7,75.7,296,23,7.8,17,0.45,13.7,26,36,353,109,30.9,9.29,2.87,0.1,0.32,14.7,4,1,1,12052,16407,73.5,243270,85855,5164,5949,86.8,4675,5733,81.5,1982,4008,49.5,25,31.5,-6.5,266,995,292,92,1059,553,14.55,402,61,34,28,17,8,59,1.55,42,2,5,6,1,0,3,652,392,339,230,83,211,642,32.9,431,6367,1766,27.7,2135,2706,1526,618,125,2,493,260,912,1244,12,43.1,20790,2314,6373,8949,6476,819,19016,364,540,67.4,387,22,11990,64574,32575,15038,12052,80.1,418,372
Southampton,23428,15,7,16,51,60,-9,52,2.13,53.9,50,31.4,1.42,0.83,2.25,1.32,2.14,60,1.58,163,107,0.65,15,7,16,9,23.7,4,3,1,0,3,1,5,1,58.6,0.34,-0.4,-0.01,243,746,32.6,815,98,65,48.5,256,84.4,61.1,340,26,7.6,22,0.58,15.2,25,51,497,169,34,13.08,4.45,0.1,0.29,17.3,27,2,5,12481,16900,73.9,239345,84525,5388,6315,85.3,5106,6298,81.1,1711,3587,47.7,32,31.4,0.6,333,981,304,70,1118,745,19.61,496,67,62,39,53,28,71,1.87,38,4,10,8,8,3,0,790,483,373,310,107,290,857,33.8,567,6825,2107,30.9,2195,2917,1713,694,147,0,547,295,1085,1276,20,49.3,22029,2223,6618,10568,6047,894,20097,454,739,61.4,489,23,12531,73483,39041,15420,12481,80.9,514,431
Tottenham,43757,16,11,11,61,47,14,59,2.42,46.1,43,30.8,1.21,0.81,2.02,1.13,1.94,47,1.24,172,130,0.756,16,11,11,8,21.1,7,5,2,0,5,1,4,2,52.7,0.28,7.7,0.2,214,573,37.3,795,140,47.9,39.8,289,66.4,50.8,357,20,5.6,16,0.42,12.7,29,56,439,155,35.3,11.55,4.08,0.12,0.34,17.7,21,3,4,15794,19704,80.2,306185,94530,6427,7257,88.6,6887,7937,86.8,2215,3787,58.5,39,30.8,8.2,327,1142,302,50,1281,711,18.71,530,42,54,31,35,17,89,2.34,55,3,12,12,3,2,2,709,445,353,294,62,213,689,30.9,476,6209,1752,28.2,2286,2733,1190,660,168,2,492,259,968,1074,11,52.2,24348,2661,7941,11816,6076,811,22572,467,804,58.1,510,33,15693,90220,49176,18554,15794,85.1,410,470
Watford,15353,8,10,20,36,64,-28,34,1.29,45.1,39.1,28.2,1.19,0.74,1.93,1.03,1.77,64,1.68,166,109,0.663,8,10,20,9,23.7,9,8,1,0,8,3,7,3,58.3,0.31,-2.7,-0.07,322,975,33,909,122,77.4,54.3,292,92.8,67.6,367,37,10.1,44,1.16,15.6,26,35,410,114,27.8,10.79,3,0.07,0.25,16.2,18,7,8,11207,15409,72.7,221919,84872,4852,5744,84.5,4284,5334,80.3,1791,3640,49.2,21,28.2,-7.2,287,888,268,80,986,642,16.89,445,54,42,35,42,24,53,1.39,30,4,2,4,8,5,0,681,429,353,245,83,238,774,30.7,536,6755,1835,27.2,2324,2948,1483,624,155,5,469,311,992,1101,12,42.5,19956,2259,6462,9059,5460,876,18180,359,616,58.3,381,15,11590,64484,35258,14071,11207,79.6,447,411
West Ham,44134,10,9,19,49,62,-13,39,2.13,46.2,43.2,31.8,1.22,0.84,2.05,1.14,1.97,62,1.63,178,124,0.68,10,9,19,7,18.4,6,5,1,0,5,2,7,3,58.7,0.3,-0.3,-0.01,326,815,40,776,129,70.1,50.4,292,92.8,64.5,372,16,4.3,12,0.32,11.7,29,49,414,157,37.9,10.89,4.13,0.11,0.29,15.5,13,4,4,12388,16488,75.1,240804,90754,5516,6384,86.4,4620,5666,81.5,1949,3610,54,36,31.8,4.2,318,972,259,85,1050,661,17.39,471,73,40,28,41,8,82,2.16,54,7,6,6,9,0,0,720,470,400,253,67,230,763,30.1,533,6464,1795,27.8,2438,2785,1241,633,127,1,506,291,1011,929,11,44,20825,2288,6477,9965,5580,823,19019,406,645,62.9,429,23,12519,76114,39304,15315,12388,80.9,399,408
Wolves,24758,15,14,9,51,40,11,59,2.08,47.1,44.1,32.3,1.24,0.85,2.09,1.16,2,40,1.05,120,80,0.675,15,14,9,13,34.2,3,1,2,0,1,1,7,1,40.2,0.32,1.2,0.03,282,583,48.4,580,124,59.7,44.6,282,84,55.6,349,15,4.3,8,0.21,12.4,21,49,453,142,31.3,11.92,3.74,0.1,0.32,16.7,12,4,4,14072,17895,78.6,297687,97790,5172,5988,86.4,6003,7071,84.9,2685,4175,64.3,34,32.3,1.7,327,1015,229,82,108,707,18.61,477,63,70,32,42,21,87,2.29,48,8,8,8,8,5,2,716,423,398,254,64,266,730,36.4,464,6251,1710,27.4,2387,2810,1054,608,128,1,480,263,979,972,,48.3,22382,2106,7297,10931,5458,840,20636,519,820,63.3,562,32,14114,82973,48573,16703,14072,84.2,445,45
